2026-02-17T18:11:23.275-05:00  INFO 676 --- [SIA] [restartedMain] com.example.SIA.SiaApplication           : Starting SiaApplication using Java 21.0.10 with PID 676 (C:\SIA1 - copia - M-A-I-A\target\classes started by ACER in C:\SIA1 - copia - M-A-I-A)
2026-02-17T18:11:23.293-05:00 DEBUG 676 --- [SIA] [restartedMain] com.example.SIA.SiaApplication           : Running with Spring Boot v3.3.4, Spring v6.1.13
2026-02-17T18:31:31.090-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Finished creation of repository instance for com.example.SIA.repository.ProgramacionRepository.
2026-02-17T18:31:31.090-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'notificacionService'
2026-02-17T18:31:31.100-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'notificacionRepository'
2026-02-17T18:31:31.102-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.named-queries#4'
2026-02-17T18:31:31.103-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.NotificacionRepository.fragments#0'
2026-02-17T18:31:31.106-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.109-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.beans.CachedIntrospectionResults     : Not strongly caching class [com.example.SIA.entity.Notificacion] because it is not cache-safe
2026-02-17T18:31:31.117-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Initializing repository instance for com.example.SIA.repository.NotificacionRepository…
2026-02-17T18:31:31.118-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.123-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query Notificacion.findByLeidaFalse
2026-02-17T18:31:31.125-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Notificacion.findByLeidaFalse
2026-02-17T18:31:31.125-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.136-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Finished creation of repository instance for com.example.SIA.repository.NotificacionRepository.
2026-02-17T18:31:31.140-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'notificacionService' via constructor to bean named 'notificacionRepository'
2026-02-17T18:31:31.143-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dashboardController' via constructor to bean named 'usuarioServiceImpl'
2026-02-17T18:31:31.144-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dashboardController' via constructor to bean named 'aprendizServiceImpl'
2026-02-17T18:31:31.145-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dashboardController' via constructor to bean named 'programacionRepository'
2026-02-17T18:31:31.146-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'dashboardController' via constructor to bean named 'notificacionService'
2026-02-17T18:31:31.150-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emailController'
2026-02-17T18:31:31.156-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'emailService'
2026-02-17T18:31:31.159-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mailSender'
2026-02-17T18:31:31.160-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.mail.MailSenderPropertiesConfiguration'
2026-02-17T18:31:31.162-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.mail-org.springframework.boot.autoconfigure.mail.MailProperties'
2026-02-17T18:31:31.171-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mailSender' via factory method to bean named 'spring.mail-org.springframework.boot.autoconfigure.mail.MailProperties'
2026-02-17T18:31:31.187-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'equipoController'
2026-02-17T18:31:31.191-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'equipoServiceImpl'
2026-02-17T18:31:31.191-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'equipoRepository'
2026-02-17T18:31:31.191-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.named-queries#7'
2026-02-17T18:31:31.198-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.EquipoRepository.fragments#0'
2026-02-17T18:31:31.200-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.202-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.beans.CachedIntrospectionResults     : Not strongly caching class [com.example.SIA.entity.Equipo] because it is not cache-safe
2026-02-17T18:31:31.207-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Initializing repository instance for com.example.SIA.repository.EquipoRepository…
2026-02-17T18:31:31.208-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.211-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query Equipo.findByUsuario_IdUsuario
2026-02-17T18:31:31.212-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Equipo.findByUsuario_IdUsuario
2026-02-17T18:31:31.212-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.219-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Equipo.countTotalEquipos.count
2026-02-17T18:31:31.220-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.224-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Equipo.countByTipoEquipo.count
2026-02-17T18:31:31.225-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.228-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query Equipo.findByUsuario_IdUsuarioAndEstado
2026-02-17T18:31:31.229-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Equipo.findByUsuario_IdUsuarioAndEstado
2026-02-17T18:31:31.229-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.234-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query Equipo.existsByNumeroSerie
2026-02-17T18:31:31.236-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Equipo.existsByNumeroSerie
2026-02-17T18:31:31.236-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.242-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Finished creation of repository instance for com.example.SIA.repository.EquipoRepository.
2026-02-17T18:31:31.244-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'equipoServiceImpl' via constructor to bean named 'equipoRepository'
2026-02-17T18:31:31.244-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'equipoServiceImpl' via constructor to bean named 'usuarioRepository'
2026-02-17T18:31:31.246-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'equipoController' via constructor to bean named 'equipoServiceImpl'
2026-02-17T18:31:31.247-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'festivoController'
2026-02-17T18:31:31.250-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'festivoService'
2026-02-17T18:31:31.253-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'restTemplate'
2026-02-17T18:31:31.261-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'formularioController'
2026-02-17T18:31:31.262-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'formularioController' via constructor to bean named 'usuarioServiceImpl'
2026-02-17T18:31:31.263-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'formularioController' via constructor to bean named 'aprendizServiceImpl'
2026-02-17T18:31:31.265-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'homeController'
2026-02-17T18:31:31.266-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'loginController'
2026-02-17T18:31:31.270-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'loginServiceImpl'
2026-02-17T18:31:31.276-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'passwordEncoder'
2026-02-17T18:31:31.278-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'loginServiceImpl' via constructor to bean named 'usuarioRepository'
2026-02-17T18:31:31.278-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'loginServiceImpl' via constructor to bean named 'passwordEncoder'
2026-02-17T18:31:31.279-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'loginController' via constructor to bean named 'loginServiceImpl'
2026-02-17T18:31:31.281-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mensajeController'
2026-02-17T18:31:31.286-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mensajeService'
2026-02-17T18:31:31.288-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'mensajeRepository'
2026-02-17T18:31:31.292-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.named-queries#6'
2026-02-17T18:31:31.294-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.MensajeRepository.fragments#0'
2026-02-17T18:31:31.295-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.297-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.beans.CachedIntrospectionResults     : Not strongly caching class [com.example.SIA.entity.MensajeGrupo] because it is not cache-safe
2026-02-17T18:31:31.306-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Initializing repository instance for com.example.SIA.repository.MensajeRepository…
2026-02-17T18:31:31.306-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.306-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query MensajeGrupo.findBySalaPattern.count
2026-02-17T18:31:31.306-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.319-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query MensajeGrupo.findByFichaOrderByFechaEnvioAsc
2026-02-17T18:31:31.319-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query MensajeGrupo.findByFichaOrderByFechaEnvioAsc
2026-02-17T18:31:31.320-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.322-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query MensajeGrupo.findBySalaOrderByFechaEnvioAsc
2026-02-17T18:31:31.323-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query MensajeGrupo.findBySalaOrderByFechaEnvioAsc
2026-02-17T18:31:31.324-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.332-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Finished creation of repository instance for com.example.SIA.repository.MensajeRepository.
2026-02-17T18:31:31.333-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mensajeService' via constructor to bean named 'mensajeRepository'
2026-02-17T18:31:31.334-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mensajeController' via constructor to bean named 'mensajeService'
2026-02-17T18:31:31.335-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'mensajeController' via constructor to bean named 'programacionRepository'
2026-02-17T18:31:31.336-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'PQRSController'
2026-02-17T18:31:31.337-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'programacionController'
2026-02-17T18:31:31.341-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'instructorService'
2026-02-17T18:31:31.343-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'instructorRepository'
2026-02-17T18:31:31.345-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.named-queries#0'
2026-02-17T18:31:31.347-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'jpa.InstructorRepository.fragments#0'
2026-02-17T18:31:31.348-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.349-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Initializing repository instance for com.example.SIA.repository.InstructorRepository…
2026-02-17T18:31:31.350-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.353-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query Instructor.findByUsuarioNombres
2026-02-17T18:31:31.353-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Instructor.findByUsuarioNombres
2026-02-17T18:31:31.354-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.357-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Looking up named query Instructor.findByUsuarioApellidos
2026-02-17T18:31:31.358-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Instructor.findByUsuarioApellidos
2026-02-17T18:31:31.359-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.363-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.jpa.repository.query.NamedQuery    : Did not find named query Instructor.findByNombreCompleto.count
2026-02-17T18:31:31.363-05:00 DEBUG 676 --- [SIA] [restartedMain] tor$SharedEntityManagerInvocationHandler : Creating new EntityManager for shared EntityManager invocation
2026-02-17T18:31:31.372-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.d.r.c.s.RepositoryFactorySupport     : Finished creation of repository instance for com.example.SIA.repository.InstructorRepository.
2026-02-17T18:31:31.375-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'ajusteColombiaStrategy'
2026-02-17T18:31:31.378-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'QRController'
2026-02-17T18:31:31.380-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'registroController'
2026-02-17T18:31:31.382-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'registroController' via constructor to bean named 'usuarioServiceImpl'
2026-02-17T18:31:31.383-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'reporteController'
2026-02-17T18:31:31.385-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'reporteService'
2026-02-17T18:31:31.387-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'reporteService' via constructor to bean named 'aprendizRepository'
2026-02-17T18:31:31.388-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'reporteService' via constructor to bean named 'equipoRepository'
2026-02-17T18:31:31.388-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'reporteService' via constructor to bean named 'usuarioRepository'
2026-02-17T18:31:31.391-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'reporteController' via constructor to bean named 'reporteService'
2026-02-17T18:31:31.392-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'reporteController' via constructor to bean named 'aprendizRepository'
2026-02-17T18:31:31.392-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'reporteController' via constructor to bean named 'equipoRepository'
2026-02-17T18:31:31.392-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'reporteController' via constructor to bean named 'usuarioRepository'
2026-02-17T18:31:31.394-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'testErrorController'
2026-02-17T18:31:31.396-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'usuarioController'
2026-02-17T18:31:31.398-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'perfilServiceImpl'
2026-02-17T18:31:31.398-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'perfilServiceImpl' via constructor to bean named 'perfilRepository'
2026-02-17T18:31:31.400-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'usuarioController' via constructor to bean named 'usuarioServiceImpl'
2026-02-17T18:31:31.401-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'usuarioController' via constructor to bean named 'perfilServiceImpl'
2026-02-17T18:31:31.402-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'globalExceptionHandler'
2026-02-17T18:31:31.404-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'adminNotificador'
2026-02-17T18:31:31.404-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'adminNotificador' via constructor to bean named 'notificacionService'
2026-02-17T18:31:31.406-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'adminServiceImpl'
2026-02-17T18:31:31.407-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'adminServiceImpl' via constructor to bean named 'usuarioRepository'
2026-02-17T18:31:31.408-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.security.config.annotation.configuration.ObjectPostProcessorConfiguration'
2026-02-17T18:31:31.409-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'objectPostProcessor'
2026-02-17T18:31:31.410-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'objectPostProcessor' via factory method to bean named 'org.springframework.beans.factory.support.DefaultListableBeanFactory@7dc5079b'
2026-02-17T18:31:31.411-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.security.config.annotation.authentication.configuration.AuthenticationConfiguration'
2026-02-17T18:31:31.416-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'enableGlobalAuthenticationAutowiredConfigurer'
2026-02-17T18:31:31.418-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'enableGlobalAuthenticationAutowiredConfigurer' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5bc10e07'
2026-02-17T18:31:31.420-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'initializeUserDetailsBeanManagerConfigurer'
2026-02-17T18:31:31.420-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'initializeUserDetailsBeanManagerConfigurer' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5bc10e07'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'initializeAuthenticationProviderBeanManagerConfigurer'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'initializeAuthenticationProviderBeanManagerConfigurer' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5bc10e07'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authenticationManagerBuilder'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'authenticationManagerBuilder' via factory method to bean named 'objectPostProcessor'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'authenticationManagerBuilder' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5bc10e07'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'authenticationEventPublisher'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.security.servlet.SecurityAutoConfiguration'
2026-02-17T18:31:31.422-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'authenticationEventPublisher' via factory method to bean named 'org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5bc10e07'
2026-02-17T18:31:31.437-05:00 DEBUG 676 --- [SIA] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.security.config.annotation.web.configuration.WebSecurityConfiguration'
